zip,num_ev_vehicles,num_ev_stations,ev_vehicles_per_station
15237,0.0,1,0.0
31002,0.0,1,0.0
85608,0.0,1,0.0
90002,0.0,3,0.0
90003,0.0,4,0.0
90004,0.0,16,0.0
90005,0.0,18,0.0
90006,0.0,11,0.0
90007,0.0,49,0.0
90008,0.0,11,0.0
90010,0.0,8,0.0
90011,0.0,14,0.0
90012,0.0,63,0.0
90013,0.0,14,0.0
90014,0.0,29,0.0
90015,0.0,73,0.0
90016,0.0,19,0.0
90017,0.0,50,0.0
90018,0.0,3,0.0
90019,0.0,11,0.0
90020,0.0,9,0.0
90021,0.0,12,0.0
90022,0.0,1,0.0
90023,0.0,2,0.0
90024,0.0,19,0.0
90025,0.0,104,0.0
90026,0.0,21,0.0
90027,0.0,19,0.0
90028,0.0,83,0.0
90029,0.0,18,0.0
90030,0.0,1,0.0
90031,0.0,7,0.0
90032,0.0,41,0.0
90033,0.0,37,0.0
90034,0.0,34,0.0
90035,0.0,24,0.0
90036,0.0,27,0.0
90037,0.0,8,0.0
90038,0.0,63,0.0
90039,0.0,42,0.0
90040,0.0,3,0.0
90041,0.0,18,0.0
90042,0.0,20,0.0
90043,0.0,6,0.0
90044,0.0,12,0.0
90045,0.0,74,0.0
90046,0.0,52,0.0
90047,0.0,7,0.0
90048,0.0,37,0.0
90049,0.0,37,0.0
90056,0.0,5,0.0
90057,0.0,7,0.0
90058,0.0,23,0.0
90059,0.0,4,0.0
90061,0.0,5,0.0
90062,0.0,1,0.0
90063,0.0,1,0.0
90064,0.0,33,0.0
90065,0.0,9,0.0
90066,0.0,21,0.0
90067,0.0,83,0.0
90068,0.0,66,0.0
90069,0.0,35,0.0
90071,0.0,52,0.0
90077,0.0,6,0.0
90089,0.0,12,0.0
90094,0.0,17,0.0
90095,0.0,5,0.0
90210,0.0,46,0.0
90211,0.0,4,0.0
90212,0.0,12,0.0
90220,0.0,7,0.0
90221,0.0,11,0.0
90230,0.0,36,0.0
90232,0.0,74,0.0
90240,0.0,3,0.0
90241,0.0,19,0.0
90242,0.0,8,0.0
90245,0.0,54,0.0
90247,0.0,6,0.0
90248,0.0,22,0.0
90249,0.0,1,0.0
90250,0.0,12,0.0
90254,0.0,6,0.0
90255,0.0,2,0.0
90260,0.0,2,0.0
90262,0.0,4,0.0
90263,0.0,6,0.0
90265,0.0,55,0.0
90266,0.0,39,0.0
90272,0.0,6,0.0
90274,0.0,10,0.0
90275,0.0,6,0.0
90277,0.0,8,0.0
90278,0.0,7,0.0
90280,0.0,5,0.0
90290,0.0,1,0.0
90291,0.0,10,0.0
90292,0.0,23,0.0
90293,0.0,3,0.0
90301,0.0,28,0.0
90303,0.0,19,0.0
90304,0.0,2,0.0
90305,0.0,14,0.0
90401,0.0,71,0.0
90402,0.0,3,0.0
90403,0.0,18,0.0
90404,0.0,59,0.0
90405,0.0,57,0.0
9048.,0.0,1,0.0
90501,0.0,49,0.0
90502,0.0,19,0.0
90503,0.0,53,0.0
90504,0.0,11,0.0
90505,0.0,40,0.0
90601,0.0,8,0.0
90602,0.0,1,0.0
90603,0.0,3,0.0
90604,0.0,5,0.0
90605,0.0,1,0.0
90606,0.0,2,0.0
90620,0.0,7,0.0
90621,0.0,12,0.0
90623,0.0,1,0.0
90630,0.0,54,0.0
90631,0.0,10,0.0
90638,0.0,20,0.0
90640,0.0,32,0.0
90650,0.0,16,0.0
90660,0.0,5,0.0
90670,0.0,6,0.0
90680,0.0,7,0.0
90701,0.0,2,0.0
90703,0.0,30,0.0
90706,0.0,22,0.0
90710,0.0,3,0.0
90712,0.0,5,0.0
90713,0.0,4,0.0
90715,0.0,2,0.0
90716,0.0,3,0.0
90717,0.0,4,0.0
90720,0.0,4,0.0
90723,0.0,13,0.0
90731,0.0,29,0.0
90732,0.0,2,0.0
90740,0.0,13,0.0
90744,0.0,12,0.0
90745,0.0,29,0.0
90746,0.0,40,0.0
90755,0.0,10,0.0
90802,0.0,103,0.0
90803,0.0,24,0.0
90804,0.0,1,0.0
90805,0.0,6,0.0
90806,0.0,9,0.0
90807,0.0,2,0.0
90808,0.0,22,0.0
90810,0.0,12,0.0
90813,0.0,22,0.0
90815,0.0,14,0.0
90840,0.0,2,0.0
90846,0.0,8,0.0
91006,0.0,9,0.0
91007,0.0,12,0.0
91010,0.0,4,0.0
91011,0.0,8,0.0
91016,0.0,20,0.0
91030,0.0,11,0.0
91040,0.0,1,0.0
91042,0.0,6,0.0
91101,0.0,33,0.0
91103,0.0,4,0.0
91104,0.0,2,0.0
91105,0.0,20,0.0
91106,0.0,4,0.0
91107,0.0,32,0.0
91125,0.0,2,0.0
91201,0.0,8,0.0
91202,0.0,2,0.0
91203,0.0,19,0.0
91204,0.0,11,0.0
91205,0.0,6,0.0
91206,0.0,4,0.0
91208,0.0,7,0.0
91210,0.0,8,0.0
91214,0.0,2,0.0
91301,0.0,17,0.0
91302,0.0,14,0.0
91303,0.0,26,0.0
91304,0.0,6,0.0
91306,0.0,5,0.0
91307,0.0,6,0.0
91311,0.0,26,0.0
91316,0.0,12,0.0
91320,0.0,15,0.0
91321,0.0,9,0.0
91324,0.0,17,0.0
91325,0.0,20,0.0
91326,0.0,9,0.0
91330,0.0,8,0.0
91331,0.0,10,0.0
91335,0.0,14,0.0
91340,0.0,12,0.0
91342,0.0,12,0.0
91343,0.0,11,0.0
91344,0.0,8,0.0
91345,0.0,9,0.0
91350,0.0,10,0.0
91351,0.0,5,0.0
91352,0.0,5,0.0
91355,0.0,44,0.0
91356,0.0,24,0.0
91360,0.0,20,0.0
91361,0.0,24,0.0
91362,0.0,38,0.0
91364,0.0,6,0.0
91367,0.0,44,0.0
91377,0.0,1,0.0
91381,0.0,1,0.0
91384,0.0,1,0.0
91387,0.0,3,0.0
91401,0.0,11,0.0
91402,0.0,14,0.0
91403,0.0,12,0.0
91405,0.0,57,0.0
91406,0.0,17,0.0
91411,0.0,14,0.0
91423,0.0,24,0.0
91436,0.0,11,0.0
91502,0.0,66,0.0
91504,0.0,10,0.0
91505,0.0,39,0.0
91506,0.0,10,0.0
91522,0.0,1,0.0
91523,0.0,2,0.0
91601,0.0,21,0.0
91602,0.0,28,0.0
91604,0.0,18,0.0
91605,0.0,12,0.0
91606,0.0,42,0.0
91607,0.0,8,0.0
91608,0.0,43,0.0
91701,0.0,3,0.0
91702,0.0,9,0.0
91706,0.0,6,0.0
91708,0.0,1,0.0
91709,0.0,20,0.0
91710,0.0,7,0.0
91711,0.0,27,0.0
91722,0.0,2,0.0
91723,0.0,15,0.0
91724,0.0,1,0.0
91730,0.0,19,0.0
91731,0.0,17,0.0
91732,0.0,10,0.0
91733,0.0,3,0.0
91737,0.0,1,0.0
91739,0.0,5,0.0
91740,0.0,11,0.0
91741,0.0,10,0.0
91744,0.0,3,0.0
91745,0.0,4,0.0
91746,0.0,38,0.0
91748,0.0,9,0.0
91750,0.0,12,0.0
91752,0.0,4,0.0
91754,0.0,5,0.0
91755,0.0,6,0.0
9176.,0.0,1,0.0
91761,0.0,21,0.0
91762,0.0,4,0.0
91763,0.0,9,0.0
91764,0.0,21,0.0
91765,0.0,43,0.0
91766,0.0,4,0.0
91767,0.0,16,0.0
91768,0.0,5,0.0
91770,0.0,8,0.0
91773,0.0,16,0.0
91775,0.0,1,0.0
91776,0.0,8,0.0
91780,0.0,4,0.0
91786,0.0,7,0.0
91789,0.0,80,0.0
91790,0.0,11,0.0
91791,0.0,7,0.0
91792,0.0,1,0.0
91801,0.0,6,0.0
91803,0.0,4,0.0
91901,0.0,4,0.0
91906,0.0,6,0.0
91910,0.0,28,0.0
91911,0.0,27,0.0
91914,0.0,6,0.0
91915,0.0,7,0.0
91931,0.0,1,0.0
91932,0.0,5,0.0
91935,0.0,1,0.0
91941,0.0,1,0.0
91942,0.0,11,0.0
91943,0.0,1,0.0
91945,0.0,5,0.0
91950,0.0,32,0.0
91977,0.0,1,0.0
92004,0.0,5,0.0
92007,0.0,4,0.0
92008,0.0,31,0.0
92009,0.0,20,0.0
92010,0.0,10,0.0
92011,0.0,8,0.0
92014,0.0,13,0.0
92019,0.0,12,0.0
92020,0.0,40,0.0
92021,0.0,27,0.0
92024,0.0,23,0.0
92025,0.0,20,0.0
92026,0.0,11,0.0
92027,0.0,3,0.0
92028,0.0,18,0.0
92029,0.0,25,0.0
92036,0.0,5,0.0
92037,0.0,97,0.0
92040,0.0,16,0.0
92054,0.0,37,0.0
92056,0.0,13,0.0
92057,0.0,4,0.0
92058,0.0,2,0.0
92059,0.0,1,0.0
92064,0.0,5,0.0
92065,0.0,7,0.0
92067,0.0,5,0.0
92069,0.0,11,0.0
92070,0.0,3,0.0
92071,0.0,26,0.0
92075,0.0,36,0.0
92078,0.0,21,0.0
92081,0.0,19,0.0
92082,0.0,9,0.0
92083,0.0,4,0.0
92084,0.0,6,0.0
92086,0.0,4,0.0
92093,0.0,16,0.0
92101,0.0,260,0.0
92102,0.0,3,0.0
92103,0.0,33,0.0
92104,0.0,3,0.0
92105,0.0,1,0.0
92106,0.0,6,0.0
92108,0.0,61,0.0
92109,0.0,7,0.0
