zip,num_vehicles,num_chargers,_merge,vehicles_per_charger,valid_zip
15237,0.0,1,right_only,0.0,1
31002,0.0,1,right_only,0.0,1
85608,0.0,1,right_only,0.0,1
90002,0.0,3,right_only,0.0,1
90003,0.0,4,right_only,0.0,1
90004,0.0,16,right_only,0.0,1
90005,0.0,18,right_only,0.0,1
90006,0.0,11,right_only,0.0,1
90007,0.0,49,right_only,0.0,1
90008,0.0,11,right_only,0.0,1
90010,0.0,8,right_only,0.0,1
90011,0.0,14,right_only,0.0,1
90012,0.0,63,right_only,0.0,1
90013,0.0,14,right_only,0.0,1
90014,0.0,29,right_only,0.0,1
90015,0.0,73,right_only,0.0,1
90016,0.0,19,right_only,0.0,1
90017,0.0,50,right_only,0.0,1
90018,0.0,3,right_only,0.0,1
90019,0.0,11,right_only,0.0,1
90020,0.0,9,right_only,0.0,1
90021,0.0,12,right_only,0.0,1
90022,0.0,1,right_only,0.0,1
90023,0.0,2,right_only,0.0,1
90024,0.0,19,right_only,0.0,1
90025,0.0,104,right_only,0.0,1
90026,0.0,21,right_only,0.0,1
90027,0.0,19,right_only,0.0,1
90028,0.0,84,right_only,0.0,1
90029,0.0,18,right_only,0.0,1
90030,0.0,1,right_only,0.0,1
90031,0.0,7,right_only,0.0,1
90032,0.0,41,right_only,0.0,1
90033,0.0,37,right_only,0.0,1
90034,0.0,34,right_only,0.0,1
90035,0.0,24,right_only,0.0,1
90036,0.0,27,right_only,0.0,1
90037,0.0,8,right_only,0.0,1
90038,0.0,63,right_only,0.0,1
90039,0.0,42,right_only,0.0,1
90040,0.0,3,right_only,0.0,1
90041,0.0,18,right_only,0.0,1
90042,0.0,20,right_only,0.0,1
90043,0.0,6,right_only,0.0,1
90044,0.0,12,right_only,0.0,1
90045,0.0,75,right_only,0.0,1
90046,0.0,52,right_only,0.0,1
90047,0.0,7,right_only,0.0,1
90048,0.0,37,right_only,0.0,1
90049,0.0,37,right_only,0.0,1
90056,0.0,5,right_only,0.0,1
90057,0.0,7,right_only,0.0,1
90058,0.0,23,right_only,0.0,1
90059,0.0,4,right_only,0.0,1
90061,0.0,5,right_only,0.0,1
90062,0.0,1,right_only,0.0,1
90063,0.0,1,right_only,0.0,1
90064,0.0,33,right_only,0.0,1
90065,0.0,9,right_only,0.0,1
90066,0.0,21,right_only,0.0,1
90067,0.0,83,right_only,0.0,1
90068,0.0,66,right_only,0.0,1
90069,0.0,35,right_only,0.0,1
90071,0.0,52,right_only,0.0,1
90077,0.0,6,right_only,0.0,1
90089,0.0,12,right_only,0.0,1
90094,0.0,17,right_only,0.0,1
90095,0.0,5,right_only,0.0,1
90210,0.0,46,right_only,0.0,1
90211,0.0,4,right_only,0.0,1
90212,0.0,12,right_only,0.0,1
90220,0.0,7,right_only,0.0,1
90221,0.0,11,right_only,0.0,1
90230,0.0,36,right_only,0.0,1
90232,0.0,74,right_only,0.0,1
90240,0.0,3,right_only,0.0,1
90241,0.0,19,right_only,0.0,1
90242,0.0,8,right_only,0.0,1
90245,0.0,54,right_only,0.0,1
90247,0.0,6,right_only,0.0,1
90248,0.0,22,right_only,0.0,1
90249,0.0,1,right_only,0.0,1
90250,0.0,12,right_only,0.0,1
90254,0.0,6,right_only,0.0,1
90255,0.0,2,right_only,0.0,1
90260,0.0,2,right_only,0.0,1
90262,0.0,4,right_only,0.0,1
90263,0.0,6,right_only,0.0,1
90265,0.0,55,right_only,0.0,1
90266,0.0,39,right_only,0.0,1
90272,0.0,6,right_only,0.0,1
90274,0.0,10,right_only,0.0,1
90275,0.0,6,right_only,0.0,1
90277,0.0,8,right_only,0.0,1
90278,0.0,7,right_only,0.0,1
90280,0.0,5,right_only,0.0,1
90290,0.0,1,right_only,0.0,1
90291,0.0,10,right_only,0.0,1
90292,0.0,23,right_only,0.0,1
90293,0.0,3,right_only,0.0,1
90301,0.0,28,right_only,0.0,1
90303,0.0,19,right_only,0.0,1
90304,0.0,2,right_only,0.0,1
90305,0.0,14,right_only,0.0,1
90401,0.0,71,right_only,0.0,1
90402,0.0,3,right_only,0.0,1
90403,0.0,18,right_only,0.0,1
90404,0.0,59,right_only,0.0,1
90405,0.0,57,right_only,0.0,1
9048.,0.0,1,right_only,0.0,1
90501,0.0,49,right_only,0.0,1
90502,0.0,19,right_only,0.0,1
90503,0.0,53,right_only,0.0,1
90504,0.0,12,right_only,0.0,1
90505,0.0,40,right_only,0.0,1
90601,0.0,8,right_only,0.0,1
90602,0.0,1,right_only,0.0,1
90603,0.0,3,right_only,0.0,1
90604,0.0,5,right_only,0.0,1
90605,0.0,1,right_only,0.0,1
90606,0.0,2,right_only,0.0,1
90620,0.0,7,right_only,0.0,1
90621,0.0,12,right_only,0.0,1
90623,0.0,1,right_only,0.0,1
90630,0.0,54,right_only,0.0,1
90631,0.0,10,right_only,0.0,1
90638,0.0,20,right_only,0.0,1
90640,0.0,32,right_only,0.0,1
90650,0.0,16,right_only,0.0,1
