zip,num_ev_vehicles,num_ev_stations,ev_vehicles_per_station
15237,0.0,1.0,0.0
31002,0.0,1.0,0.0
85608,0.0,1.0,0.0
90001,309.0,0.0,
90002,294.0,3.0,98.0
90003,361.0,4.0,90.25
90004,1691.0,16.0,105.6875
90005,1171.0,18.0,65.05555555555556
90006,733.0,11.0,66.63636363636364
90007,425.0,49.0,8.673469387755102
90008,986.0,11.0,89.63636363636364
90009,16.0,0.0,
90010,548.0,8.0,68.5
90011,459.0,14.0,32.785714285714285
90012,2081.0,63.0,33.03174603174603
90013,491.0,14.0,35.07142857142857
90014,366.0,29.0,12.620689655172415
90015,1066.0,73.0,14.602739726027398
90016,1269.0,19.0,66.78947368421052
90017,900.0,50.0,18.0
90018,830.0,3.0,276.6666666666667
90019,1959.0,11.0,178.0909090909091
90020,981.0,9.0,109.0
90021,260.0,12.0,21.666666666666668
90022,415.0,1.0,415.0
90023,284.0,2.0,142.0
90024,2276.0,19.0,119.78947368421052
90025,2833.0,104.0,27.240384615384617
90026,1770.0,21.0,84.28571428571429
90027,1937.0,19.0,101.94736842105263
90028,1270.0,83.0,15.301204819277109
90029,601.0,18.0,33.388888888888886
90030,2.0,1.0,2.0
90031,717.0,7.0,102.42857142857143
90032,903.0,41.0,22.024390243902438
90033,294.0,37.0,7.945945945945946
90034,2479.0,34.0,72.91176470588235
90035,1755.0,24.0,73.125
90036,2223.0,27.0,82.33333333333333
90037,384.0,8.0,48.0
90038,829.0,63.0,13.158730158730158
90039,1526.0,42.0,36.333333333333336
90040,233.0,3.0,77.66666666666667
90041,1091.0,18.0,60.611111111111114
90042,1674.0,20.0,83.7
90043,1284.0,6.0,214.0
90044,582.0,12.0,48.5
90045,8677.0,74.0,117.25675675675676
90046,3159.0,52.0,60.75
90047,867.0,7.0,123.85714285714286
90048,1620.0,37.0,43.78378378378378
90049,4057.0,37.0,109.64864864864865
90051,3.0,0.0,
90053,4.0,0.0,
90054,3.0,0.0,
90055,1.0,0.0,
90056,566.0,5.0,113.2
90057,466.0,7.0,66.57142857142857
90058,158.0,23.0,6.869565217391305
90059,337.0,4.0,84.25
90060,1.0,0.0,
90061,247.0,5.0,49.4
90062,386.0,1.0,386.0
90063,569.0,1.0,569.0
90064,2516.0,33.0,76.24242424242425
90065,1830.0,9.0,203.33333333333334
90066,3583.0,21.0,170.61904761904762
90067,660.0,83.0,7.951807228915663
90068,1905.0,66.0,28.863636363636363
90069,1731.0,35.0,49.457142857142856
90071,28.0,52.0,0.5384615384615384
90073,1.0,0.0,
90075,2.0,0.0,
90077,1387.0,6.0,231.16666666666666
90078,7.0,0.0,
90079,2.0,0.0,
90080,1.0,0.0,
90082,1.0,0.0,
90086,5.0,0.0,
90089,19.0,12.0,1.5833333333333333
90093,3.0,0.0,
