Year,Fuel Type Code,ZIP,Station Name
2020,ELEC,90015,Los Angeles Convention Center
2020,ELEC,90028,Cherokee & Hollywood Parking Garage
2020,ELEC,91731,California Air Resources Board
2020,ELEC,92037,Scripps Green Hospital
2020,ELEC,92027,San Diego Wild Animal Park
2020,ELEC,91343,Galpin Motors
2020,ELEC,92503,Galleria at Tyler
2020,ELEC,91103,City of Pasadena - Holly Street Garage
2020,ELEC,91105,City of Pasadena - De Lacey Garage
2020,ELEC,91105,City of Pasadena - Schoolhouse Garage
2020,ELEC,91101,Pasadena Hilton
2020,ELEC,91030,Bristol Farms
2020,ELEC,90802,Hyatt Regency Long Beach
2020,ELEC,90045,Los Angeles International Airport (LAX) - Lot 6
2020,ELEC,91324,Northridge Fashion Center - Yard House
2020,ELEC,91764,Ontario Airport Hilton
2020,ELEC,93030,Courtyard Marriott - Oxnard Ventura
2020,ELEC,92262,Hilton - Palm Springs
2020,ELEC,94588,East Bay Mini
2020,ELEC,92509,Inland Empire Foods
2020,ELEC,95837,Sacramento International Airport - Daily A Lot
2020,ELEC,90405,City of Santa Monica - Airport
2020,ELEC,90405,City of Santa Monica - Pier
2020,ELEC,91423,Westfield Fashion Square
2020,ELEC,92590,City of Temecula - 6th Street Lot
2020,ELEC,91608,Universal City Hilton
2020,ELEC,91405,Van Nuys Amtrak/Metrolink Station
2020,ELEC,90241,Office Max - Home Depot
2020,ELEC,93534,City of Lancaster - City Hall
2020,ELEC,94133,Hyatt at Fisherman's Wharf
2020,ELEC,95815,Arden Fair Mall
2020,ELEC,94115,Japan Center Garage
2020,ELEC,94104,Saint Mary's Square Garage
2020,ELEC,94105,Palace Hotel
2020,ELEC,94108,Mark Hopkins InterContinental Hotel
2020,ELEC,94102,Ellis O'Farrell Garage
2020,ELEC,90048,Hotel Sofitel
2020,ELEC,90012,Music Center Parking - Level 2
2020,ELEC,91436,Balboa Golf Course
2020,ELEC,90028,Tops Auto Park Garage
2020,ELEC,91330,California State University - Northridge
2020,ELEC,91330,California State University - Northridge
2020,ELEC,91330,California State University - Northridge
2020,ELEC,91324,Northridge Metrolink Station
2020,ELEC,90731,Los Angeles Harbor Department Headquarters
2020,ELEC,90044,City of Los Angeles - Constituent Service Center
2020,ELEC,91342,Sylmar Metrolink Station
2020,ELEC,90049,Getty Center
2020,ELEC,91007,Los Angeles County - Arboretum
2020,ELEC,91741,City of Glendora - City Hall
2020,ELEC,90230,DoubleTree Hotel - Los Angeles - Westside
2020,ELEC,90034,Helms Bakery Building
2020,ELEC,92705,Westfield MainPlace Mall
2020,ELEC,93012,California State University - Channel Islands
2020,ELEC,92821,Brea Downtown Parking
2020,ELEC,91320,Home Depot
2020,ELEC,93022,Lake Casitas Municipal Water District - Recreational Area
2020,ELEC,91773,San Dimas Park & Ride
2020,ELEC,91101,City of Pasadena - El Molino Lot
2020,ELEC,93009,Ventura County Government Center
2020,ELEC,93003,Ventura County Air Pollution Control District
2020,ELEC,93003,Pacific View Mall
2020,ELEC,95616,University of California - Davis Extension
2020,ELEC,93401,San Luis Obispo County Air Pollution Control District
2020,ELEC,95061,Soquel & Front Garage
2020,ELEC,95628,Fair Oaks - Orangevale - Community Library
2020,ELEC,95816,Sutter Galleria Mall - University of California - Davis Extension
2020,ELEC,95843,North Highlands Library
2020,ELEC,95817,University of California - Davis - Medical Center
2020,ELEC,95822,City of Sacramento - Belle Cooledge Library
2020,ELEC,95667,Mosquito Road Park and Ride
2020,ELEC,95687,City of Vacaville - Cultural Center
2020,ELEC,95688,Stars Recreation Center
2020,ELEC,95688,City of Vacaville - Regional Transport Center
2020,ELEC,95688,Office of Housing & Redevelopment
2020,ELEC,95688,KUIC Radio - Parking Lot
2020,ELEC,95621,Citrus Heights City Hall
2020,ELEC,95620,Pitt School Plaza
2020,ELEC,95667,El Dorado County Government Center
2020,ELEC,95762,El Dorado Transit Park & Ride
2020,ELEC,95746,CVS Pharmacy
2020,ELEC,95608,Carmichael Library
2020,ELEC,94571,Rio Vista City Hall
2020,ELEC,94533,Fairfield City Hall
2020,ELEC,94534,Solano Community College
2020,ELEC,94590,Vallejo Ferry Terminal
2020,HY,92612,University of California Irvine
2020,ELEC,90045,Los Angeles International Airport (LAX) - Lot 1
2020,HY,90504,Shell - Torrance
2020,ELEC,95482,City of Ukiah - Public Parking Lot
2020,ELEC,95688,Nut Tree Village
2020,ELEC,95603,Placer County Community Development Resource Center
2020,ELEC,95616,4th and G Plaza Public Parking Garage
2020,ELEC,95616,Davis Amtrak Station
2020,ELEC,95616,University of California - Davis
2020,ELEC,95618,University Covenant Church
2020,ELEC,95618,Wildhorse Golf Club
2020,ELEC,93930,Ciudad del Rey Motel & Trailer Park
2020,ELEC,90712,Lakewood Center Mall
2020,HY,90045,Los Angeles International Airport
2020,ELEC,94939,Golden Gate Ferry Terminal
2020,ELEC,94621,Oakland International Airport - Daily Lot
2020,ELEC,94533,Fairfield Transportation Center
2020,ELEC,93907,Rabobank - Salinas
2020,ELEC,93405,Home Depot
2020,ELEC,93401,San Luis Obispo Promenade - Bed Bath & Beyond
2020,ELEC,90401,Toyota of Santa Monica
2020,ELEC,94102,Parc 55 Hotel
2020,ELEC,94109,Beach & Hyde Garage
2020,ELEC,90401,City of Santa Monica - Civic Parking Garage
2020,ELEC,95482,Super 8 - Ukiah
2020,ELEC,94509,Antioch Nissan
2020,ELEC,93313,Nissan of Bakersfield
2020,ELEC,90621,Buena Park Nissan
2020,ELEC,90745,Carson Nissan
2020,ELEC,92234,Palm Springs Nissan
2020,ELEC,90703,Cerritos Nissan
2020,ELEC,95926,Chico Nissan
2020,ELEC,91748,Puente Hills Nissan
2020,ELEC,93612,Lithia Nissan - Clovis
2020,ELEC,94014,Nissan of Serramonte
2020,ELEC,94520,Autocom Nissan - Concord
2020,ELEC,92882,Larry H Miller Nissan
2020,ELEC,92626,Orange Coast Nissan
2020,ELEC,95618,Hanlees Nissan
2020,ELEC,90241,Downey Nissan
2020,ELEC,91010,Nissan of Duarte
2020,ELEC,92020,Mossy Nissan - El Cajon
2020,ELEC,91731,Ross Nissan of El Monte
2020,ELEC,95757,Nissan of Elk Grove
2020,ELEC,92029,Mossy Nissan - Escondido
2020,ELEC,95501,McCrea Nissan
2020,ELEC,95630,Future Nissan of Folsom
2020,ELEC,92336,Fontana Nissan
2020,ELEC,94538,Premier Nissan of Fremont
2020,ELEC,93710,Lithia Nissan - Fresno
2020,ELEC,92844,Imperio Nissan of Garden Grove
2020,ELEC,90247,Gardena Nissan
2020,ELEC,95020,South County Nissan
2020,ELEC,91204,Glendale Nissan
2020,ELEC,93117,Santa Barbara Nissan
2020,ELEC,94544,Hayward Nissan
2020,ELEC,92545,Pedder Nissan
2020,ELEC,92647,Surf City Nissan
2020,ELEC,92618,Nissan of Irvine
2020,ELEC,92253,Torre Nissan
2020,ELEC,90015,Nissan of Downtown Los Angeles
2020,ELEC,90068,Universal City Nissan
2020,ELEC,95340,Razzari Nissan
2020,ELEC,91345,Nissan of Mission Hills
2020,ELEC,95356,Central Valley Nissan
2020,ELEC,91763,Metro Nissan of Montclair
2020,ELEC,92374,Metro Nissan of Redlands
2020,ELEC,94559,Napa Nissan
2020,ELEC,91950,Mossy Nissan
2020,ELEC,92056,Mossy Nissan - Oceanside
2020,ELEC,92867,Stadium Nissan
2020,ELEC,93036,Team Nissan
2020,ELEC,93551,Antelope Valley Nissan
2020,ELEC,94952,North Bay Nissan
