zip,Year,bev,fcev,total
90000,2020,4.0,0.0,4.0
90001,2020,21.0,0.0,21.0
90001,2021,36.0,2.0,38.0
90001,2022,143.0,14.0,157.0
90001,2023,168.0,10.0,178.0
90001,2024,309.0,21.0,330.0
90001,2025,408.0,12.0,420.0
90002,2020,31.0,0.0,31.0
90002,2021,37.0,5.0,42.0
90002,2022,158.0,10.0,168.0
90002,2023,167.0,15.0,182.0
90002,2024,294.0,14.0,308.0
90002,2025,425.0,22.0,447.0
90003,2020,25.0,1.0,26.0
90003,2021,30.0,3.0,33.0
90003,2022,184.0,18.0,202.0
90003,2023,197.0,19.0,216.0
90003,2024,361.0,22.0,383.0
90003,2025,520.0,19.0,539.0
90004,2020,345.0,14.0,359.0
90004,2021,439.0,17.0,456.0
90004,2022,1540.0,53.0,1593.0
90004,2023,1292.0,27.0,1319.0
90004,2024,1691.0,22.0,1713.0
90004,2025,2105.0,17.0,2122.0
90005,2020,116.0,3.0,119.0
90005,2021,169.0,4.0,173.0
90005,2022,781.0,23.0,804.0
90005,2023,808.0,17.0,825.0
90005,2024,1171.0,12.0,1183.0
90005,2025,1526.0,19.0,1545.0
90006,2020,61.0,3.0,64.0
90006,2021,76.0,5.0,81.0
90006,2022,388.0,13.0,401.0
90006,2023,458.0,16.0,474.0
90006,2024,733.0,18.0,751.0
90006,2025,923.0,20.0,943.0
90007,2020,56.0,0.0,56.0
90007,2021,68.0,0.0,68.0
90007,2022,240.0,1.0,241.0
90007,2023,270.0,6.0,276.0
90007,2024,425.0,8.0,433.0
90007,2025,596.0,7.0,603.0
90008,2020,153.0,3.0,156.0
90008,2021,206.0,4.0,210.0
90008,2022,839.0,11.0,850.0
90008,2023,688.0,9.0,697.0
90008,2024,986.0,10.0,996.0
90008,2025,1217.0,12.0,1229.0
90009,2020,3.0,1.0,4.0
90009,2021,4.0,1.0,5.0
90009,2022,14.0,0.0,14.0
90009,2023,9.0,0.0,9.0
90009,2024,16.0,0.0,16.0
90009,2025,17.0,0.0,17.0
90010,2020,70.0,1.0,71.0
90010,2021,114.0,0.0,114.0
90010,2022,520.0,4.0,524.0
90010,2023,456.0,3.0,459.0
90010,2024,548.0,2.0,550.0
90010,2025,630.0,3.0,633.0
90011,2020,41.0,0.0,41.0
90011,2021,60.0,2.0,62.0
90011,2022,246.0,15.0,261.0
90011,2023,252.0,15.0,267.0
90011,2024,459.0,21.0,480.0
90011,2025,641.0,25.0,666.0
90012,2020,660.0,12.0,672.0
90012,2021,710.0,10.0,720.0
90012,2022,1957.0,31.0,1988.0
90012,2023,1446.0,13.0,1459.0
90012,2024,2081.0,17.0,2098.0
90012,2025,2686.0,21.0,2707.0
90013,2020,84.0,1.0,85.0
90013,2021,150.0,2.0,152.0
90013,2022,588.0,7.0,595.0
90013,2023,413.0,5.0,418.0
90013,2024,491.0,7.0,498.0
90013,2025,618.0,10.0,628.0
90014,2020,87.0,0.0,87.0
90014,2021,132.0,0.0,132.0
90014,2022,429.0,5.0,434.0
90014,2023,300.0,0.0,300.0
90014,2024,366.0,1.0,367.0
90014,2025,415.0,1.0,416.0
90015,2020,174.0,7.0,181.0
90015,2021,255.0,9.0,264.0
90015,2022,987.0,18.0,1005.0
90015,2023,759.0,10.0,769.0
90015,2024,1066.0,5.0,1071.0
90015,2025,1291.0,8.0,1299.0
90016,2020,166.0,5.0,171.0
90016,2021,229.0,6.0,235.0
90016,2022,930.0,18.0,948.0
90016,2023,905.0,15.0,920.0
90016,2024,1269.0,17.0,1286.0
90016,2025,1624.0,15.0,1639.0
90017,2020,254.0,6.0,260.0
90017,2021,213.0,7.0,220.0
90017,2022,776.0,13.0,789.0
90017,2023,643.0,12.0,655.0
90017,2024,900.0,6.0,906.0
90017,2025,1202.0,8.0,1210.0
90018,2020,131.0,4.0,135.0
90018,2021,162.0,3.0,165.0
90018,2022,631.0,24.0,655.0
90018,2023,577.0,17.0,594.0
90018,2024,830.0,15.0,845.0
90018,2025,1041.0,19.0,1060.0
90019,2020,339.0,10.0,349.0
90019,2021,439.0,8.0,447.0
90019,2022,1716.0,27.0,1743.0
90019,2023,1458.0,17.0,1475.0
90019,2024,1959.0,22.0,1981.0
